👺	Smileys & Emotion	goblin	angry | creature | face | fairy | fairytale | fantasy | goblin | mask | mean | monster | tale
👻	Smileys & Emotion	ghost	boo | creature | excited | face | fairy | fairytale | fantasy | ghost | halloween | haunting | monster | scary | silly | tale
👽	Smileys & Emotion	alien	alien | creature | extraterrestrial | face | fairy | fairytale | fantasy | monster | space | tale | ufo | et | ufo
👾	Smileys & Emotion	alien monster	alien | creature | extraterrestrial | face | fairy | fairytale | fantasy | game | gamer | games | monster | pixelated | space | tale | ufo | et | ufo
🤖	Smileys & Emotion	robot	face | monster | robot
😺	Smileys & Emotion	grinning cat	animal | cat | face | grinning | mouth | open | smile | smiling
😸	Smileys & Emotion	grinning cat with smiling eyes	animal | cat | eye | eyes | face | grin | grinning | smile | smiling
😹	Smileys & Emotion	cat with tears of joy	animal | cat | face | joy | laugh | laughing | lol | tear | tears
😻	Smileys & Emotion	smiling cat with heart-eyes	animal | cat | eye | face | heart | heart-eyes | love | smile | smiling | smiling cat face with heart eyes | smiling cat with heart-eyes
😼	Smileys & Emotion	cat with wry smile	animal | cat | face | ironic | smile | wry
😽	Smileys & Emotion	kissing cat	animal | cat | closed | eye | eyes | face | kiss | kissing
🙀	Smileys & Emotion	weary cat	animal | cat | face | oh | surprised | weary
😿	Smileys & Emotion	crying cat	animal | cat | cry | crying | face | sad | tear
😾	Smileys & Emotion	pouting cat	animal | cat | face | pouting
🙈	Smileys & Emotion	see-no-evil monkey	embarrassed | evil | face | forbidden | forgot | gesture | hide | monkey | no | omg | prohibited | scared | secret | smh | watch | see
🙉	Smileys & Emotion	hear-no-evil monkey	animal | ears | evil | face | forbidden | gesture | hear | listen | monkey | no | not | prohibited | secret | shh | tmi
🙊	Smileys & Emotion	speak-no-evil monkey	animal | evil | face | forbidden | gesture | monkey | no | not | oops | prohibited | quiet | secret | speak | stealth
💌	Smileys & Emotion	love letter	heart | letter | love | mail | romance | valentine
💘	Smileys & Emotion	heart with arrow	143 | adorbs | arrow | cupid | date | emotion | heart | ily | love | romance | valentine
💝	Smileys & Emotion	heart with ribbon	143 | anniversary | emotion | heart | ily | kisses | ribbon | valentine | xoxo
💖	Smileys & Emotion	sparkling heart	143 | emotion | excited | good | heart | ily | kisses | morning | night | sparkle | sparkling | xoxo
💗	Smileys & Emotion	growing heart	143 | emotion | excited | growing | heart | heartpulse | ily | kisses | muah | nervous | pulse | xoxo | mwah
💓	Smileys & Emotion	beating heart	143 | beating | cardio | emotion | heart | heartbeat | ily | love | pulsating | pulse
💞	Smileys & Emotion	revolving hearts	143 | adorbs | anniversary | emotion | heart | hearts | revolving
💕	Smileys & Emotion	two hearts	143 | anniversary | date | dating | emotion | heart | hearts | ily | kisses | love | loving | two | xoxo
💟	Smileys & Emotion	heart decoration	143 | decoration | emotion | heart | hearth | purple | white
❣️	Smileys & Emotion	heart exclamation	
❣	Smileys & Emotion	heart exclamation	exclamation | heart | heavy | mark | punctuation
💔	Smileys & Emotion	broken heart	break | broken | crushed | emotion | heart | heartbroken | lonely | sad
❤️‍🔥	Smileys & Emotion	heart on fire	
❤‍🔥	Smileys & Emotion	heart on fire	burn | fire | heart | love | lust | sacred
❤️‍🩹	Smileys & Emotion	mending heart	
❤‍🩹	Smileys & Emotion	mending heart	healthier | heart | improving | mending | recovering | recuperating | well
❤️	Smileys & Emotion	red heart	
❤	Smileys & Emotion	red heart	emotion | heart | love | red
🩷	Smileys & Emotion	pink heart	143 | adorable | cute | emotion | heart | ily | like | love | pink | special | sweet
🧡	Smileys & Emotion	orange heart	143 | heart | orange
💛	Smileys & Emotion	yellow heart	143 | cardiac | emotion | heart | ily | love | yellow
💚	Smileys & Emotion	green heart	143 | emotion | green | heart | ily | love | romantic
💙	Smileys & Emotion	blue heart	143 | blue | emotion | heart | ily | love | romance
🩵	Smileys & Emotion	light blue heart	143 | blue | cute | cyan | emotion | heart | ily | light | like | love | sky | special | teal
💜	Smileys & Emotion	purple heart	143 | bestest | emotion | heart | ily | love | purple
🤎	Smileys & Emotion	brown heart	143 | brown | heart
🖤	Smileys & Emotion	black heart	black | evil | heart | wicked
🩶	Smileys & Emotion	grey heart	143 | emotion | gray | grey | heart | ily | love | silver | slate | special
🤍	Smileys & Emotion	white heart	143 | heart | white
💋	Smileys & Emotion	kiss mark	dating | emotion | heart | kiss | kissing | lips | mark | romance | sexy
💯	Smileys & Emotion	hundred points	100 | a+ | agree | clearly | definitely | faithful | fleek | full | hundred | keep | perfect | point | score | true | truth | yup | true | hundred percent | hundred points | one hundred
💢	Smileys & Emotion	anger symbol	anger | angry | comic | mad | symbol | upset
💥	Smileys & Emotion	collision	bomb | boom | collide | collision | comic | explode
💫	Smileys & Emotion	dizzy	comic | dizzy | shining | shooting | star | stars
💦	Smileys & Emotion	sweat droplets	comic | drip | droplet | droplets | drops | splashing | squirt | sweat | water | wet | work | workout
💨	Smileys & Emotion	dashing away	away | cloud | comic | dash | dashing | fart | fast | go | gone | gotta | running | smoke
🕳️	Smileys & Emotion	hole	
🕳	Smileys & Emotion	hole	hole
💬	Smileys & Emotion	speech balloon	balloon | bubble | comic | dialog | message | sms | speech | talk | text | typing | dialogue
👁️‍🗨️	Smileys & Emotion	eye in speech bubble	
👁‍🗨️	Smileys & Emotion	eye in speech bubble	
👁️‍🗨	Smileys & Emotion	eye in speech bubble	
👁‍🗨	Smileys & Emotion	eye in speech bubble	balloon | bubble | eye | speech | witness
🗨️	Smileys & Emotion	left speech bubble	
🗨	Smileys & Emotion	left speech bubble	balloon | bubble | dialog | left | speech | dialogue | left speech bubble
🗯️	Smileys & Emotion	right anger bubble	
🗯	Smileys & Emotion	right anger bubble	anger | angry | balloon | bubble | mad | right
💭	Smileys & Emotion	thought balloon	balloon | bubble | cartoon | cloud | comic | daydream | decisions | dream | idea | invent | invention | realize | think | thoughts | wonder | realise
💤	Smileys & Emotion	ZZZ	comic | good | goodnight | night | sleep | sleeping | sleepy | tired | zzz
👋	People & Body	waving hand	bye | cya | g2g | greetings | gtg | hand | hello | hey | hi | later | outtie | ttfn | ttyl | wave | yo | you
👋🏻	People & Body	waving hand: light skin tone	bye | cya | g2g | greetings | gtg | hand | hello | hey | hi | later | light skin tone | outtie | ttfn | ttyl | wave | yo | you
👋🏼	People & Body	waving hand: medium-light skin tone	bye | cya | g2g | greetings | gtg | hand | hello | hey | hi | later | medium-light skin tone | outtie | ttfn | ttyl | wave | yo | you
👋🏽	People & Body	waving hand: medium skin tone	bye | cya | g2g | greetings | gtg | hand | hello | hey | hi | later | medium skin tone | outtie | ttfn | ttyl | wave | yo | you
👋🏾	People & Body	waving hand: medium-dark skin tone	bye | cya | g2g | greetings | gtg | hand | hello | hey | hi | later | medium-dark skin tone | outtie | ttfn | ttyl | wave | yo | you
👋🏿	People & Body	waving hand: dark skin tone	bye | cya | dark skin tone | g2g | greetings | gtg | hand | hello | hey | hi | later | outtie | ttfn | ttyl | wave | yo | you
🤚	People & Body	raised back of hand	back | backhand | hand | raised
🤚🏻	People & Body	raised back of hand: light skin tone	back | backhand | hand | light skin tone | raised
🤚🏼	People & Body	raised back of hand: medium-light skin tone	back | backhand | hand | medium-light skin tone | raised
🤚🏽	People & Body	raised back of hand: medium skin tone	back | backhand | hand | medium skin tone | raised
🤚🏾	People & Body	raised back of hand: medium-dark skin tone	back | backhand | hand | medium-dark skin tone | raised
🤚🏿	People & Body	raised back of hand: dark skin tone	back | backhand | dark skin tone | hand | raised
🖐️	People & Body	hand with fingers splayed	
🖐	People & Body	hand with fingers splayed	finger | fingers | hand | raised | splayed | stop
🖐🏻	People & Body	hand with fingers splayed: light skin tone	finger | fingers | hand | light skin tone | raised | splayed | stop
🖐🏼	People & Body	hand with fingers splayed: medium-light skin tone	finger | fingers | hand | medium-light skin tone | raised | splayed | stop
🖐🏽	People & Body	hand with fingers splayed: medium skin tone	finger | fingers | hand | medium skin tone | raised | splayed | stop
🖐🏾	People & Body	hand with fingers splayed: medium-dark skin tone	finger | fingers | hand | medium-dark skin tone | raised | splayed | stop
🖐🏿	People & Body	hand with fingers splayed: dark skin tone	dark skin tone | finger | fingers | hand | raised | splayed | stop
✋	People & Body	raised hand	5 | five | hand | high | raised | stop
✋🏻	People & Body	raised hand: light skin tone	5 | five | hand | high | light skin tone | raised | stop
✋🏼	People & Body	raised hand: medium-light skin tone	5 | five | hand | high | medium-light skin tone | raised | stop
✋🏽	People & Body	raised hand: medium skin tone	5 | five | hand | high | medium skin tone | raised | stop
✋🏾	People & Body	raised hand: medium-dark skin tone	5 | five | hand | high | medium-dark skin tone | raised | stop
✋🏿	People & Body	raised hand: dark skin tone	5 | dark skin tone | five | hand | high | raised | stop
🖖	People & Body	vulcan salute	finger | hand | hands | salute | vulcan | spock | vulcan | vulcan salute | spock
🖖🏻	People & Body	vulcan salute: light skin tone	finger | hand | hands | light skin tone | salute | vulcan | spock | vulcan | vulcan salute | spock
🖖🏼	People & Body	vulcan salute: medium-light skin tone	finger | hand | hands | medium-light skin tone | salute | vulcan | spock | vulcan | vulcan salute | spock
🖖🏽	People & Body	vulcan salute: medium skin tone	finger | hand | hands | medium skin tone | salute | vulcan | spock | vulcan | vulcan salute | spock
🖖🏾	People & Body	vulcan salute: medium-dark skin tone	finger | hand | hands | medium-dark skin tone | salute | vulcan | spock | vulcan | vulcan salute | spock
🖖🏿	People & Body	vulcan salute: dark skin tone	dark skin tone | finger | hand | hands | salute | vulcan | spock | vulcan | vulcan salute | spock
🫱	People & Body	rightwards hand	hand | handshake | hold | reach | right | rightward | rightwards | shake
🫱🏻	People & Body	rightwards hand: light skin tone	hand | handshake | hold | light skin tone | reach | right | rightward | rightwards | shake
🫱🏼	People & Body	rightwards hand: medium-light skin tone	hand | handshake | hold | medium-light skin tone | reach | right | rightward | rightwards | shake
🫱🏽	People & Body	rightwards hand: medium skin tone	hand | handshake | hold | medium skin tone | reach | right | rightward | rightwards | shake
🫱🏾	People & Body	rightwards hand: medium-dark skin tone	hand | handshake | hold | medium-dark skin tone | reach | right | rightward | rightwards | shake
🫱🏿	People & Body	rightwards hand: dark skin tone	dark skin tone | hand | handshake | hold | reach | right | rightward | rightwards | shake
🫲	People & Body	leftwards hand	hand | handshake | hold | left | leftward | leftwards | reach | shake
🫲🏻	People & Body	leftwards hand: light skin tone	hand | handshake | hold | left | leftward | leftwards | light skin tone | reach | shake
🫲🏼	People & Body	leftwards hand: medium-light skin tone	hand | handshake | hold | left | leftward | leftwards | medium-light skin tone | reach | shake
🫲🏽	People & Body	leftwards hand: medium skin tone	hand | handshake | hold | left | leftward | leftwards | medium skin tone | reach | shake
🫲🏾	People & Body	leftwards hand: medium-dark skin tone	hand | handshake | hold | left | leftward | leftwards | medium-dark skin tone | reach | shake
🫲🏿	People & Body	leftwards hand: dark skin tone	dark skin tone | hand | handshake | hold | left | leftward | leftwards | reach | shake
🫳	People & Body	palm down hand	dismiss | down | drop | dropped | hand | palm | pick | shoo | up | palm down hand | palm-down hand
🫳🏻	People & Body	palm down hand: light skin tone	dismiss | down | drop | dropped | hand | light skin tone | palm | pick | shoo | up | palm down hand | palm-down hand
🫳🏼	People & Body	palm down hand: medium-light skin tone	dismiss | down | drop | dropped | hand | medium-light skin tone | palm | pick | shoo | up | palm down hand | palm-down hand
🫳🏽	People & Body	palm down hand: medium skin tone	dismiss | down | drop | dropped | hand | medium skin tone | palm | pick | shoo | up | palm down hand | palm-down hand
🫳🏾	People & Body	palm down hand: medium-dark skin tone	dismiss | down | drop | dropped | hand | medium-dark skin tone | palm | pick | shoo | up | palm down hand | palm-down hand
🫳🏿	People & Body	palm down hand: dark skin tone	dark skin tone | dismiss | down | drop | dropped | hand | palm | pick | shoo | up | palm down hand | palm-down hand
🫴	People & Body	palm up hand	beckon | catch | come | hand | hold | know | lift | me | offer | palm | tell | palm up hand | palm-up hand
🫴🏻	People & Body	palm up hand: light skin tone	beckon | catch | come | hand | hold | know | lift | light skin tone | me | offer | palm | tell | palm up hand | palm-up hand
🫴🏼	People & Body	palm up hand: medium-light skin tone	beckon | catch | come | hand | hold | know | lift | me | medium-light skin tone | offer | palm | tell | palm up hand | palm-up hand
🫴🏽	People & Body	palm up hand: medium skin tone	beckon | catch | come | hand | hold | know | lift | me | medium skin tone | offer | palm | tell | palm up hand | palm-up hand
🫴🏾	People & Body	palm up hand: medium-dark skin tone	beckon | catch | come | hand | hold | know | lift | me | medium-dark skin tone | offer | palm | tell | palm up hand | palm-up hand
🫴🏿	People & Body	palm up hand: dark skin tone	beckon | catch | come | dark skin tone | hand | hold | know | lift | me | offer | palm | tell | palm up hand | palm-up hand
🫷	People & Body	leftwards pushing hand	block | five | halt | hand | high | hold | leftward | leftwards | pause | push | pushing | refuse | slap | stop | wait | high five | leftward-pushing hand | leftwards pushing hand
🫷🏻	People & Body	leftwards pushing hand: light skin tone	block | five | halt | hand | high | hold | leftward | leftwards | light skin tone | pause | push | pushing | refuse | slap | stop | wait | high five | leftward-pushing hand | leftwards pushing hand
🫷🏼	People & Body	leftwards pushing hand: medium-light skin tone	block | five | halt | hand | high | hold | leftward | leftwards | medium-light skin tone | pause | push | pushing | refuse | slap | stop | wait | high five | leftward-pushing hand | leftwards pushing hand
🫷🏽	People & Body	leftwards pushing hand: medium skin tone	block | five | halt | hand | high | hold | leftward | leftwards | medium skin tone | pause | push | pushing | refuse | slap | stop | wait | high five | leftward-pushing hand | leftwards pushing hand
🫷🏾	People & Body	leftwards pushing hand: medium-dark skin tone	block | five | halt | hand | high | hold | leftward | leftwards | medium-dark skin tone | pause | push | pushing | refuse | slap | stop | wait | high five | leftward-pushing hand | leftwards pushing hand
🫷🏿	People & Body	leftwards pushing hand: dark skin tone	block | dark skin tone | five | halt | hand | high | hold | leftward | leftwards | pause | push | pushing | refuse | slap | stop | wait | high five | leftward-pushing hand | leftwards pushing hand
🫸	People & Body	rightwards pushing hand	block | five | halt | hand | high | hold | pause | push | pushing | refuse | rightward | rightwards | slap | stop | wait | high five | rightward-pushing hand | rightwards pushing hand
🫸🏻	People & Body	rightwards pushing hand: light skin tone	block | five | halt | hand | high | hold | light skin tone | pause | push | pushing | refuse | rightward | rightwards | slap | stop | wait | high five | rightward-pushing hand | rightwards pushing hand
